ISS_ID,WR_DT,TOT_AMT,BYR_CD,SUP,BYR
2013122741000008f0k064d9,2013-12-27,660000,C30391,Comp2,Comp146
2014032541000008f0k077nz,2014-03-25,9.00E+05,C30391,Comp2,Comp146
2014022041000008f0k06rqo,2014-02-20,660000,C30391,Comp2,Comp146
2014012741000008f0k06hhg,2014-01-27,660000,C30391,Comp2,Comp146
2014012741000008f0k06hhm,2014-01-27,660000,C30391,Comp2,Comp146
2013110441000008f0k05gzy,2013-11-04,220000,C30391,Comp2,Comp146
2014022841000008f0k06vvu,2014-02-28,660000,C30391,Comp2,Comp146
2013123041000008f0k064p1,2013-12-30,3465000,C30391,Comp2,Comp146
2014013041000008f0k06jr4,2014-01-30,220000,C30391,Comp2,Comp146
2014033141000008f0k079f1,2014-03-31,660000,C30391,Comp2,Comp146
2014033141000008f0k079f2,2014-03-31,660000,C30391,Comp2,Comp146
2014033041000008f0k079ez,2014-03-30,660000,C30391,Comp2,Comp146
2014033041000008f0k079f0,2014-03-30,1100000,C30391,Comp2,Comp146
2014052041000008f0k07uvy,2014-05-20,594000,C30391,Comp2,Comp146
2014072541000008f0k08tdq,2014-07-25,660000,C30391,Comp2,Comp146
2014062541000008f0k08dyq,2014-06-25,660000,C30391,Comp2,Comp146
2014062541000008f0k08dyl,2014-06-25,660000,C30391,Comp2,Comp146
2014062541000008f0k08dyr,2014-06-25,9.00E+05,C30391,Comp2,Comp146
2014043041000008f0k07n2b,2014-04-30,660000,C30391,Comp2,Comp146
2014063041000008f0k08em6,2014-06-30,2497000,C30391,Comp2,Comp146
2014043041000008f0k07p21,2014-04-30,660000,C30391,Comp2,Comp146
2014052541000008f0k07zyz,2014-05-25,9.00E+05,C30391,Comp2,Comp146
2014072541000008f0k08rmq,2014-07-25,1100000,C30391,Comp2,Comp146
2014072541000008f0k08rmr,2014-07-25,660000,C30391,Comp2,Comp146
2014051541000008f0k07qwt,2014-05-15,440000,C30391,Comp2,Comp146
2014033041000008f0k079l9,2014-03-30,2010800,C30391,Comp2,Comp146
2014082541000008f0k096kk,2014-08-25,660000,C30391,Comp2,Comp146
2014052541000008f0k0807x,2014-05-25,1100000,C30391,Comp2,Comp146
2014051541000008f0k07s3f,2014-05-15,9.00E+05,C30391,Comp2,Comp146
2014082941000008f0k0982t,2014-08-29,9.00E+05,C30391,Comp2,Comp146
2014103041000008f0k0a5bo,2014-10-30,-3817000,C30391,Comp2,Comp146
2014083041000008f0k098zj,2014-08-30,3597000,C30391,Comp2,Comp146
2014102041000008f0k09wz1,2014-10-20,594000,C30391,Comp2,Comp146
2014092541000008f0k09m23,2014-09-25,660000,C30391,Comp2,Comp146
2014122441000008f0k0at84,2014-12-24,220000,C30391,Comp2,Comp146
2014092541000008f0k09m3g,2014-09-25,660000,C30391,Comp2,Comp146
2014122241000008f0k0avqp,2014-12-22,-660000,C30391,Comp2,Comp146
2014102541000008f0k0a0fq,2014-10-25,1.00E+05,C30391,Comp2,Comp146
2014122041000008f0k0apmy,2014-12-20,594000,C30391,Comp2,Comp146
2015052541000008f0k0d1qx,2015-05-25,6.00E+05,C30391,Comp2,Comp146
2015042541000008f0k0cmoc,2015-04-25,660000,C30391,Comp2,Comp146
2015032041000008f0k0c089,2015-03-20,594000,C30391,Comp2,Comp146
2015053041000008f0k0d34u,2015-05-30,3597000,C30391,Comp2,Comp146
2015022541000008f0k0bpxj,2015-02-25,580000,C30391,Comp2,Comp146
2015022541000008f0k0bpxl,2015-02-25,660000,C30391,Comp2,Comp146
2015032541000008f0k0c5pl,2015-03-25,3597000,C30391,Comp2,Comp146
2015052541000008f0k0d1qy,2015-05-25,6.00E+05,C30391,Comp2,Comp146
2015052541000008f0k0d1qz,2015-05-25,660000,C30391,Comp2,Comp146
2015092541000008f0k0ewuq,2015-09-25,6.00E+05,C30391,Comp2,Comp146
2015072541000008f0k0dzqs,2015-07-25,3597000,C30391,Comp2,Comp146
2015083041000008f0k0ehim,2015-08-30,3597000,C30391,Comp2,Comp146
2015062541000008f0k0dgnz,2015-06-25,660000,C30391,Comp2,Comp146
2015082541000008f0k0edf6,2015-08-25,6.00E+05,C30391,Comp2,Comp146
2015093041000008f0k0eznv,2015-09-30,3597000,C30391,Comp2,Comp146
2015082541000008f0k0edf5,2015-08-25,6.00E+05,C30391,Comp2,Comp146
2015092541000008f0k0ewus,2015-09-25,660000,C30391,Comp2,Comp146
2015102541000008f0k0ff2x,2015-10-25,6.00E+05,C30391,Comp2,Comp146
2015122541000008f0k0ghq3,2015-12-25,660000,C30391,Comp2,Comp146
2015122541000008f0k0gi18,2015-12-25,6.00E+05,C30391,Comp2,Comp146
2015122541000008f0k0gi19,2015-12-25,6.00E+05,C30391,Comp2,Comp146
2015122541000008f0k0ghr6,2015-12-25,660000,C30391,Comp2,Comp146
2015112541000008f0k0fy7g,2015-11-25,6.00E+05,C30391,Comp2,Comp146
2015112541000008f0k0fy55,2015-11-25,6.00E+05,C30391,Comp2,Comp146
